-1.000000000000000000e+00,-2.082017257233804042e+00
-9.310344827586206629e-01,-1.326980231383844577e+00
-8.620689655172413257e-01,-1.105597724026297302e+00
-7.931034482758620996e-01,-8.739457591687143090e-01
-7.241379310344827624e-01,-2.850269503453501940e-01
-6.551724137931034253e-01,-4.311525242309193207e-01
-5.862068965517241992e-01,-7.947540211451276093e-01
-5.172413793103448620e-01,-8.860680579535984425e-01
-4.482758620689655249e-01,-8.998997770490548831e-01
-3.793103448275861878e-01,-8.618436535642400864e-01
-3.103448275862068506e-01,-8.880518330525755122e-01
-2.413793103448276245e-01,-1.235951293792926897e+00
-1.724137931034482873e-01,-7.195682680177882817e-01
-1.034482758620689502e-01,-4.520228599039657902e-01
-3.448275862068972408e-02,9.889950915124584574e-02
3.448275862068972408e-02,3.489697260001618506e-01
1.034482758620689502e-01,9.747797375894945437e-02
1.724137931034481763e-01,7.001980872761618402e-01
2.413793103448276245e-01,1.310512133875448182e+00
3.103448275862068506e-01,1.001775757402062039e+00
3.793103448275862988e-01,1.003182311737163879e+00
4.482758620689655249e-01,1.149101292653882611e+00
5.172413793103447510e-01,1.592206072405790040e+00
5.862068965517241992e-01,6.090900916227517392e-01
6.551724137931034253e-01,5.944162302173638945e-01
7.241379310344826514e-01,7.030073199805744188e-01
7.931034482758620996e-01,8.233224106817185195e-01
8.620689655172413257e-01,1.106464394645032989e+00
9.310344827586205518e-01,1.422956954550419928e+00
1.000000000000000000e+00,2.309837684059687923e+00
